Tom;maior;m;7M;7;7M;7;m7(-5);dim
C;CEG;CD#G;BCEG;A#CEG;BCE;A#CE;A#CD#F#;ACD#F#
C#;C#FG#;C#EG#;CC#FG#;BC#FG#;CC#F;BC#F;BC#EG;A#C#EG
D;ADF#;ADF;AC#DF#;ACDF#;C#DF#;CDF#;CDFG#;BDFG#
D#;A#D#G;A#D#F#;A#DD#G;A#C#D#G;DD#G;C#D#G;C#D#F#A;CD#F#A
E;BEG#;BEG;BD#EG#;BDEG#;D#EG#;DEG#;A#DEG;A#C#EG
F;ACF;CFG#;ACEF;ACD#F;AEF;AD#F;BD#FG#;BDFG#
F#;A#C#F#;AC#F#;A#C#FF#;A#C#EF#;A#FF#;A#EF#;ACEF#;ACD#F#
G;BDG;A#DG;BDF#G;BDFG;BF#G;BFG;A#C#FG;A#C#EG
G#;CD#G#;BD#G#;CD#GG#;CD#F#G#;CGG#;CF#G#;BDF#G#;BDFG#
A;AC#E;ACE;AC#EG#;AC#EG;AC#G#;AC#G;ACD#G;ACD#F#
A#;A#DF;A#C#F;AA#DF;A#DFG#;AA#D;A#DG#;A#C#EG#;A#C#EG
B;BD#F#;BDF#;A#BD#F#;ABD#F#;A#BD#;ABD#;ABDF;BDFG#
