C;C#;D;D#;E;F;F#;G;G#;A;A#;B
16.351597;17.323914;18.354046;19.445435;20.601725;21.826761;23.124651;24.499718;25.956537;27.5;29.135233;30.867708
32.703194;34.647828;36.708092;38.89087;41.20345;43.653522;46.249302;48.999436;51.913074;55;58.270466;61.735416
65.406388;69.295656;73.416184;77.78174;82.4069;87.307044;92.498604;97.998872;103.826148;110;116.540932;123.470832
130.812776;138.591312;146.832368;155.56348;164.8138;174.614088;184.997208;195.997744;207.652296;220;233.081864;246.941664
261.625552;277.182624;293.664736;311.12696;329.6276;349.228176;369.994416;391.995488;415.304592;440;466.163728;493.883328
523.251104;554.365248;587.329472;622.25392;659.2552;698.456352;739.988832;783.990976;830.609184;880;932.327456;987.766656
1046.502208;1108.730496;1174.658944;1244.50784;1318.5104;1396.912704;1479.977664;1567.981952;1661.218368;1760;1864.654912;1975.533312
2093.004416;2217.460992;2349.317888;2489.01568;2637.0208;2793.825408;2959.955328;3135.963904;3322.436736;3520;3729.309824;3951.066624
4186.008832;4434.921984;4698.635776;4978.03136;5274.0416;5587.650816;5919.910656;6271.927808;6644.873472;7040;7458.619648;7902.133248
8372.017664;8869.843968;9397.271552;9956.06272;10548.0832;11175.30163;11839.82131;12543.85562;13289.74694;14080;14917.2393;15804.2665
16744.03533;17739.68794;18794.5431;19912.12544;21096.1664;22350.60326;23679.64262;25087.71123;26579.49389;28160;29834.47859;31608.53299
